Mês,Real,Previsto,Erro,Erro %
2024-09,"1.442.581.835,00","1.574.242.511,87","-131.660.676,87","-9,13"
2024-10,"1.440.392.851,00","1.605.415.426,52","-165.022.575,52","-11,46"
2024-11,"1.600.759.624,00","1.652.326.196,60","-51.566.572,60","-3,22"
2024-12,"2.118.052.033,00","1.843.558.042,00","274.493.991,00","12,96"
2025-01,"1.614.279.367,00","1.668.530.001,62","-54.250.634,62","-3,36"
2025-02,"1.803.410.672,00","1.837.108.380,11","-33.697.708,11","-1,87"
2025-03,"1.627.937.674,00","1.653.057.173,24","-25.119.499,24","-1,54"
2025-04,"1.588.074.302,00","1.777.589.181,47","-189.514.879,47","-11,93"
2025-05,"1.892.312.058,00","1.827.839.213,76","64.472.844,24","3,41"
2025-06,"1.865.011.084,00","1.856.717.715,56","8.293.368,44","0,44"
2025-07,"1.800.320.701,00","1.775.765.205,67","24.555.495,33","1,36"
2025-08,"1.931.010.345,00","1.863.591.227,22","67.419.117,78","3,49"
