Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"1.740.321.055,35","1.726.532.755,67","1.786.552.856,38"
2025-10,"1.733.960.921,64","1.771.184.192,19","1.821.607.708,35"
2025-11,"1.882.531.021,10","1.867.410.706,28","1.885.558.803,51"
2025-12,"2.210.252.969,30","2.157.456.698,66","1.897.560.558,78"
2026-01,"1.863.469.530,64","1.899.856.613,30","1.881.969.781,91"
2026-02,"2.026.204.195,94","2.037.519.374,60","1.887.719.699,15"
2026-03,"1.840.502.863,58","1.885.571.248,60","1.867.495.180,59"
2026-04,"1.905.936.935,24","1.930.163.187,56","1.873.481.893,56"
2026-05,"2.077.212.230,43","2.078.376.640,13","1.887.247.325,16"
2026-06,"2.053.693.434,50","2.079.235.564,34","1.883.580.901,28"
2026-07,"2.000.014.595,61","2.031.512.195,09","1.884.637.515,00"
2026-08,"2.051.103.260,36","2.133.230.451,74","1.891.119.874,17"
