Mês,Real,Previsto,Erro,Erro %
2024-09,"1.442.581.835,00","1.536.372.319,10","-93.790.484,10","-6,50"
2024-10,"1.440.392.851,00","1.503.738.096,31","-63.345.245,31","-4,40"
2024-11,"1.600.759.624,00","1.633.519.936,58","-32.760.312,58","-2,05"
2024-12,"2.118.052.033,00","1.703.043.343,21","415.008.689,79","19,59"
2025-01,"1.614.279.367,00","1.678.581.898,67","-64.302.531,67","-3,98"
2025-02,"1.803.410.672,00","1.658.411.580,59","144.999.091,41","8,04"
2025-03,"1.627.937.674,00","1.536.494.681,79","91.442.992,21","5,62"
2025-04,"1.588.074.302,00","1.631.678.949,64","-43.604.647,64","-2,75"
2025-05,"1.892.312.058,00","1.689.166.402,42","203.145.655,58","10,74"
2025-06,"1.865.011.084,00","1.704.339.300,87","160.671.783,13","8,62"
2025-07,"1.800.320.701,00","1.695.509.324,43","104.811.376,57","5,82"
2025-08,"1.931.010.345,00","1.700.381.907,88","230.628.437,12","11,94"
