Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"1.255.352.245,08","1.294.660.867,22","1.235.510.210,97"
2025-10,"1.265.652.486,86","1.302.604.456,59","1.329.162.375,30"
2025-11,"1.362.589.749,99","1.366.209.403,41","1.374.149.798,61"
2025-12,"1.525.743.421,90","1.471.050.088,79","1.376.436.856,72"
2026-01,"1.368.537.759,98","1.317.581.147,92","1.374.313.545,94"
2026-02,"1.434.862.704,00","1.428.692.113,21","1.376.141.932,56"
2026-03,"1.350.610.495,53","1.296.097.062,54","1.369.344.181,25"
2026-04,"1.406.115.844,58","1.372.255.062,78","1.373.231.310,29"
2026-05,"1.483.366.875,36","1.481.305.697,88","1.376.337.176,65"
2026-06,"1.489.963.475,31","1.503.796.189,29","1.375.917.482,39"
2026-07,"1.447.314.119,23","1.412.712.891,41","1.376.570.861,09"
2026-08,"1.492.359.682,48","1.476.203.695,99","1.376.359.117,00"
