Mês,Real,Previsto,Erro,Erro %
2024-09,"1.047.672.188,00","1.172.804.726,44","-125.132.538,44","-11,94"
2024-10,"1.078.293.175,00","1.167.507.382,73","-89.214.207,73","-8,27"
2024-11,"1.197.301.844,00","1.178.612.416,45","18.689.427,55","1,56"
2024-12,"1.525.984.379,00","1.182.876.690,39","343.107.688,61","22,48"
2025-01,"1.219.051.050,00","1.180.893.347,90","38.157.702,10","3,13"
2025-02,"1.347.057.219,00","1.185.485.701,61","161.571.517,39","11,99"
2025-03,"1.197.070.766,00","1.173.243.494,27","23.827.271,73","1,99"
2025-04,"1.209.709.165,00","1.178.719.459,18","30.989.705,82","2,56"
2025-05,"1.342.472.739,00","1.183.701.072,04","158.771.666,96","11,83"
2025-06,"1.398.774.475,00","1.184.968.997,18","213.805.477,82","15,29"
2025-07,"1.304.653.217,00","1.180.090.555,66","124.562.661,34","9,55"
2025-08,"1.429.016.526,00","1.185.100.144,31","243.916.381,69","17,07"
