Mês,Real,Previsto,Erro,Erro %
2024-09,"183.625.513,10","163.785.291,16","19.840.221,94","10,80"
2024-10,"172.280.230,10","164.859.385,37","7.420.844,73","4,31"
2024-11,"183.757.165,40","164.392.110,65","19.365.054,75","10,54"
2024-12,"196.480.132,80","168.253.789,25","28.226.343,55","14,37"
2025-01,"185.748.602,20","168.885.220,00","16.863.382,20","9,08"
2025-02,"167.464.682,70","169.095.780,49","-1.631.097,79","-0,97"
2025-03,"161.671.208,60","170.023.067,13","-8.351.858,53","-5,17"
2025-04,"177.072.952,40","176.332.105,46","740.846,94","0,42"
2025-05,"170.572.455,30","179.712.518,10","-9.140.062,80","-5,36"
2025-06,"186.229.988,50","178.860.439,40","7.369.549,10","3,96"
2025-07,"162.811.761,80","179.906.369,54","-17.094.607,74","-10,50"
2025-08,"163.225.012,00","180.858.336,46","-17.633.324,46","-10,80"
