Mês,Real,Previsto,Erro,Erro %
2024-09,"183.625.513,10","153.884.339,36","29.741.173,74","16,20"
2024-10,"172.280.230,10","153.795.693,36","18.484.536,74","10,73"
2024-11,"183.757.165,40","153.425.267,57","30.331.897,83","16,51"
2024-12,"196.480.132,80","152.741.255,00","43.738.877,80","22,26"
2025-01,"185.748.602,20","152.263.104,40","33.485.497,80","18,03"
2025-02,"167.464.682,70","152.176.742,45","15.287.940,25","9,13"
2025-03,"161.671.208,60","152.264.883,03","9.406.325,57","5,82"
2025-04,"177.072.952,40","152.263.787,30","24.809.165,10","14,01"
2025-05,"170.572.455,30","152.238.392,63","18.334.062,67","10,75"
2025-06,"186.229.988,50","152.229.302,71","34.000.685,79","18,26"
2025-07,"162.811.761,80","152.239.179,70","10.572.582,10","6,49"
2025-08,"163.225.012,00","152.260.785,62","10.964.226,38","6,72"
