Mês,Real,Previsto,Erro,Erro %
2024-09,"32.985.180,91","41.439.099,33","-8.453.918,42","-25,63"
2024-10,"53.005.027,09","41.445.383,96","11.559.643,13","21,81"
2024-11,"64.586.047,91","41.443.329,66","23.142.718,25","35,83"
2024-12,"74.127.337,22","41.422.010,60","32.705.326,62","44,12"
2025-01,"38.802.016,61","40.978.525,26","-2.176.508,65","-5,61"
2025-02,"48.448.748,41","41.096.518,17","7.352.230,24","15,18"
2025-03,"50.381.586,13","41.255.589,47","9.125.996,66","18,11"
2025-04,"81.805.929,88","41.128.534,81","40.677.395,07","49,72"
2025-05,"15.133.256,06","40.720.550,83","-25.587.294,77","-169,08"
2025-06,"51.812.211,85","40.743.254,65","11.068.957,20","21,36"
2025-07,"60.513.062,53","41.182.950,94","19.330.111,59","31,94"
2025-08,"71.672.458,34","40.915.678,90","30.756.779,44","42,91"
