Mês,Real,Previsto,Erro,Erro %
2024-09,"555.869,64","701.762,93","-145.893,29","-26,25"
2024-10,"666.007,99","704.492,01","-38.484,02","-5,78"
2024-11,"897.543,04","702.981,49","194.561,55","21,68"
2024-12,"353.686,41","702.416,00","-348.729,59","-98,60"
2025-01,"340.051,40","700.287,82","-360.236,42","-105,94"
2025-02,"410.613,25","702.068,43","-291.455,18","-70,98"
2025-03,"596.486,45","699.773,68","-103.287,23","-17,32"
2025-04,"419.100,41","699.965,08","-280.864,67","-67,02"
2025-05,"818.429,18","706.123,51","112.305,67","13,72"
2025-06,"687.297,59","703.896,64","-16.599,05","-2,42"
2025-07,"1.200.735,71","703.131,37","497.604,34","41,44"
2025-08,"472.174,43","704.866,50","-232.692,07","-49,28"
