Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"905.829.480,39","908.501.950,97","967.230.676,64"
2025-10,"887.454.145,36","866.049.034,39","952.380.321,89"
2025-11,"1.009.189.830,09","1.015.498.845,32","977.662.900,41"
2025-12,"1.151.600.153,35","1.154.622.877,30","982.327.329,79"
2026-01,"980.488.208,76","965.811.398,63","972.329.060,35"
2026-02,"1.167.404.696,93","1.197.907.019,10","983.068.407,04"
2026-03,"931.355.605,16","919.120.082,13","965.481.835,26"
2026-04,"1.000.172.639,30","979.369.311,84","973.553.324,32"
2026-05,"1.044.036.210,87","1.034.361.195,42","977.207.534,76"
2026-06,"1.179.978.124,29","1.275.312.171,34","966.763.718,88"
2026-07,"848.801.036,19","766.939.312,94","753.232.356,26"
2026-08,"1.019.041.198,42","1.028.922.604,48","980.700.580,68"
