Mês,Real,Previsto,Erro,Erro %
2024-09,"561.026.098,90","615.240.075,00","-54.213.976,10","-9,66"
2024-10,"578.013.283,70","633.432.227,28","-55.418.943,58","-9,59"
2024-11,"703.835.758,40","696.614.468,23","7.221.290,17","1,03"
2024-12,"797.889.513,60","811.054.247,02","-13.164.733,42","-1,65"
2025-01,"648.127.652,60","685.512.742,39","-37.385.089,79","-5,77"
2025-02,"891.373.253,90","781.581.708,85","109.791.545,05","12,32"
2025-03,"625.488.303,60","654.604.839,90","-29.116.536,30","-4,66"
2025-04,"671.277.170,30","709.222.394,96","-37.945.224,66","-5,65"
2025-05,"711.820.443,10","726.093.580,95","-14.273.137,85","-2,01"
2025-06,"799.627.459,80","722.980.190,13","76.647.269,67","9,59"
2025-07,"580.742.343,10","666.855.957,09","-86.113.613,99","-14,83"
2025-08,"752.167.905,70","697.013.300,08","55.154.605,62","7,33"
