Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"643.071.133,47","643.071.133,47","643.071.133,47"
2025-10,"663.005.101,05","663.005.101,05","663.005.101,05"
2025-11,"782.496.889,82","782.496.889,82","782.496.889,82"
2025-12,"784.909.553,58","784.909.553,58","784.909.553,58"
2026-01,"774.325.216,85","774.325.216,85","774.325.216,85"
2026-02,"785.510.005,58","785.510.005,58","785.510.005,58"
2026-03,"705.899.636,54","705.899.636,54","705.899.636,54"
2026-04,"771.959.254,20","771.959.254,20","771.959.254,20"
2026-05,"779.349.588,18","779.349.588,18","779.349.588,18"
2026-06,"781.642.306,29","781.642.306,29","781.642.306,29"
2026-07,"637.269.595,18","637.269.595,18","637.269.595,18"
2026-08,"783.157.687,15","783.157.687,15","783.157.687,15"
