Mês,Real,Previsto,Erro,Erro %
2024-09,"561.026.098,90","624.533.169,94","-63.507.071,04","-11,32"
2024-10,"578.013.283,70","636.475.123,45","-58.461.839,75","-10,11"
2024-11,"703.835.758,40","651.791.539,20","52.044.219,20","7,39"
2024-12,"797.889.513,60","655.068.113,33","142.821.400,27","17,90"
2025-01,"648.127.652,60","641.141.716,87","6.985.935,73","1,08"
2025-02,"891.373.253,90","649.068.369,33","242.304.884,57","27,18"
2025-03,"625.488.303,60","631.891.264,42","-6.402.960,82","-1,02"
2025-04,"671.277.170,30","638.570.769,94","32.706.400,36","4,87"
2025-05,"711.820.443,10","640.793.389,77","71.027.053,33","9,98"
2025-06,"799.627.459,80","638.663.272,27","160.964.187,53","20,13"
2025-07,"580.742.343,10","628.860.717,30","-48.118.374,20","-8,29"
2025-08,"752.167.905,70","637.080.328,62","115.087.577,08","15,30"
