Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"304.565.218,19","298.079.809,09","313.774.154,35"
2025-10,"330.433.439,17","320.203.059,13","336.708.038,82"
2025-11,"396.940.987,25","385.256.033,93","431.128.018,13"
2025-12,"409.102.197,81","402.363.134,28","480.697.935,34"
2026-01,"438.795.759,56","434.625.003,88","482.025.121,42"
2026-02,"519.601.801,33","527.751.935,69","476.896.634,31"
2026-03,"366.388.451,24","374.853.320,04","472.106.429,13"
2026-04,"380.929.483,15","387.496.506,96","476.014.844,11"
2026-05,"448.315.768,25","462.920.665,22","479.604.292,04"
2026-06,"431.724.721,61","458.032.840,84","483.370.310,61"
2026-07,"308.011.086,70","323.664.531,25","347.828.639,00"
2026-08,"376.049.910,95","392.619.862,83","466.715.800,09"
