Mês,Real,Previsto,Erro,Erro %
2024-09,"242.731.217,50","253.986.853,48","-11.255.635,98","-4,64"
2024-10,"264.902.982,80","276.866.593,53","-11.963.610,73","-4,52"
2024-11,"323.930.925,10","328.902.555,79","-4.971.630,69","-1,53"
2024-12,"365.964.075,80","319.595.664,14","46.368.411,66","12,67"
2025-01,"384.028.191,00","345.520.892,07","38.507.298,93","10,03"
2025-02,"491.078.533,90","349.794.886,92","141.283.646,98","28,77"
2025-03,"328.296.778,90","339.137.214,41","-10.840.435,51","-3,30"
2025-04,"336.862.266,20","343.847.210,63","-6.984.944,43","-2,07"
2025-05,"426.665.033,10","351.747.008,24","74.918.024,86","17,56"
2025-06,"426.666.667,30","348.632.545,35","78.034.121,95","18,29"
2025-07,"268.550.509,20","310.012.360,76","-41.461.851,56","-15,44"
2025-08,"348.562.749,40","333.906.975,03","14.655.774,37","4,20"
