Mês,Real,Previsto,Erro,Erro %
2024-09,"4.562.204.436,00","4.035.727.857,37","526.476.578,63","11,54"
2024-10,"4.137.226.872,00","4.032.495.254,85","104.731.617,15","2,53"
2024-11,"4.630.873.790,00","4.027.253.570,50","603.620.219,50","13,03"
2024-12,"4.614.436.230,00","4.024.166.845,78","590.269.384,22","12,79"
2025-01,"4.501.573.380,00","4.023.648.314,12","477.925.065,88","10,62"
2025-02,"4.115.928.982,00","4.024.480.163,38","91.448.818,62","2,22"
2025-03,"4.196.012.410,00","4.025.748.928,39","170.263.481,61","4,06"
2025-04,"5.490.997.688,00","4.025.907.593,33","1.465.090.094,67","26,68"
2025-05,"4.285.053.469,00","4.024.756.946,28","260.296.522,72","6,07"
2025-06,"4.313.569.606,00","4.025.317.819,03","288.251.786,97","6,68"
2025-07,"4.059.317.582,00","4.025.676.641,89","33.640.940,11","0,83"
2025-08,"4.427.903.734,00","4.025.635.083,68","402.268.650,32","9,08"
