Mês,Real,Previsto,Erro,Erro %
2024-09,"7.179.563.884,00","7.328.524.426,77","-148.960.542,77","-2,07"
2024-10,"7.490.253.789,00","7.022.767.418,34","467.486.370,66","6,24"
2024-11,"7.311.642.017,00","7.425.406.655,11","-113.764.638,11","-1,56"
2024-12,"10.461.634.770,00","9.247.145.286,35","1.214.489.483,65","11,61"
2025-01,"7.924.415.954,00","7.839.983.147,99","84.432.806,01","1,07"
2025-02,"7.307.647.008,00","7.072.950.193,09","234.696.814,91","3,21"
2025-03,"7.260.442.915,00","7.349.282.800,66","-88.839.885,66","-1,22"
2025-04,"9.265.706.482,00","8.133.849.248,84","1.131.857.233,16","12,22"
2025-05,"7.757.410.886,00","7.242.011.726,25","515.399.159,75","6,64"
2025-06,"7.413.017.978,00","7.739.733.373,53","-326.715.395,53","-4,41"
2025-07,"7.070.258.403,00","7.723.554.220,08","-653.295.817,08","-9,24"
2025-08,"7.381.045.278,00","7.639.707.925,28","-258.662.647,28","-3,50"
