Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"7.348.482.737,79","7.492.925.923,67","8.270.287.180,01"
2025-10,"7.291.729.851,81","7.550.070.226,29","8.350.311.970,76"
2025-11,"7.566.332.937,71","7.787.521.743,20","8.377.265.780,78"
2025-12,"9.972.820.342,56","9.911.931.250,51","8.410.866.322,92"
2026-01,"7.909.605.604,10","8.239.700.727,67","8.317.300.329,48"
2026-02,"7.094.975.362,65","7.552.213.786,88","8.292.593.091,62"
2026-03,"7.363.650.777,42","7.715.047.255,07","8.349.914.094,48"
2026-04,"8.601.709.499,24","8.820.492.205,87","8.403.656.848,65"
2026-05,"7.366.688.992,19","7.780.296.795,31","8.360.944.280,17"
2026-06,"7.728.367.429,26","8.021.369.360,52","8.334.490.343,45"
2026-07,"7.666.854.067,81","7.905.596.356,28","8.321.819.192,87"
2026-08,"7.676.326.424,17","7.957.085.340,37","8.365.400.934,18"
