Mês,Real,Previsto,Erro,Erro %
2024-09,"4.902.442.071,00","4.873.396.089,62","29.045.981,38","0,59"
2024-10,"5.054.441.391,00","4.737.968.736,82","316.472.654,18","6,26"
2024-11,"4.969.451.077,00","4.999.195.373,01","-29.744.296,01","-0,60"
2024-12,"6.712.268.292,00","5.976.215.342,66","736.052.949,34","10,97"
2025-01,"5.309.569.411,00","5.194.896.862,59","114.672.548,41","2,16"
2025-02,"4.981.122.561,00","4.747.589.788,53","233.532.772,47","4,69"
2025-03,"4.884.472.032,00","4.897.756.400,99","-13.284.368,99","-0,27"
2025-04,"6.011.204.150,00","5.401.244.807,75","609.959.342,25","10,15"
2025-05,"5.267.950.893,00","4.957.318.266,88","310.632.626,12","5,90"
2025-06,"5.069.969.533,00","5.336.544.198,70","-266.574.665,70","-5,26"
2025-07,"4.814.965.748,00","5.118.568.507,11","-303.602.759,11","-6,31"
2025-08,"5.110.467.177,00","4.926.571.003,66","183.896.173,34","3,60"
