Mês,Real,Previsto,Erro,Erro %
2024-09,"4.902.442.071,00","4.710.738.569,20","191.703.501,80","3,91"
2024-10,"5.054.441.391,00","4.710.516.503,85","343.924.887,15","6,80"
2024-11,"4.969.451.077,00","4.711.545.071,54","257.906.005,46","5,19"
2024-12,"6.712.268.292,00","4.711.208.104,89","2.001.060.187,11","29,81"
2025-01,"5.309.569.411,00","4.709.261.910,80","600.307.500,20","11,31"
2025-02,"4.981.122.561,00","4.708.279.522,95","272.843.038,05","5,48"
2025-03,"4.884.472.032,00","4.709.308.517,10","175.163.514,90","3,59"
2025-04,"6.011.204.150,00","4.709.151.517,82","1.302.052.632,18","21,66"
2025-05,"5.267.950.893,00","4.706.836.676,97","561.114.216,03","10,65"
2025-06,"5.069.969.533,00","4.709.393.078,61","360.576.454,39","7,11"
2025-07,"4.814.965.748,00","4.709.652.185,31","105.313.562,69","2,19"
2025-08,"5.110.467.177,00","4.709.458.997,60","401.008.179,40","7,85"
