Mês,Real,Previsto,Erro,Erro %
2024-09,"153.713.748,00","165.175.099,80","-11.461.351,80","-7,46"
2024-10,"164.340.814,90","176.797.059,61","-12.456.244,71","-7,58"
2024-11,"209.190.554,30","210.647.154,05","-1.456.599,75","-0,70"
2024-12,"234.992.642,80","223.657.651,84","11.334.990,96","4,82"
2025-01,"226.089.793,50","214.431.055,69","11.658.737,81","5,16"
2025-02,"315.631.034,80","261.475.305,62","54.155.729,18","17,16"
2025-03,"205.383.182,80","175.744.109,30","29.639.073,50","14,43"
2025-04,"207.059.455,70","189.462.101,16","17.597.354,54","8,50"
2025-05,"265.674.467,00","211.175.367,78","54.499.099,22","20,51"
2025-06,"278.731.465,30","202.409.647,17","76.321.818,13","27,38"
2025-07,"167.752.214,70","161.896.371,86","5.855.842,84","3,49"
2025-08,"224.227.565,20","190.392.282,05","33.835.283,15","15,09"
