Mês,Real,Previsto,Erro,Erro %
2024-09,"3.635.236.339,00","3.508.119.767,12","127.116.571,88","3,50"
2024-10,"3.533.416.208,00","3.535.089.063,43","-1.672.855,43","-0,05"
2024-11,"3.736.754.945,00","3.550.810.886,90","185.944.058,10","4,98"
2024-12,"3.871.003.352,00","3.576.014.206,38","294.989.145,62","7,62"
2025-01,"3.812.426.235,00","3.592.039.069,56","220.387.165,44","5,78"
2025-02,"3.757.813.936,00","3.616.949.034,82","140.864.901,18","3,75"
2025-03,"3.667.278.455,00","3.633.257.876,27","34.020.578,73","0,93"
2025-04,"3.842.426.960,00","3.657.892.939,55","184.534.020,45","4,80"
2025-05,"3.698.170.448,00","3.674.467.896,79","23.702.551,21","0,64"
2025-06,"3.701.356.231,00","3.698.845.349,64","2.510.881,36","0,07"
2025-07,"3.543.597.374,00","3.715.669.683,78","-172.072.309,78","-4,86"
2025-08,"3.718.931.713,00","3.739.805.730,12","-20.874.017,12","-0,56"
