Mês,Real,Previsto,Erro,Erro %
2024-09,"3.635.236.339,00","3.585.404.377,80","49.831.961,20","1,37"
2024-10,"3.533.416.208,00","3.546.160.453,86","-12.744.245,86","-0,36"
2024-11,"3.736.754.945,00","3.553.095.878,10","183.659.066,90","4,91"
2024-12,"3.871.003.352,00","3.627.005.947,27","243.997.404,73","6,30"
2025-01,"3.812.426.235,00","3.731.947.264,74","80.478.970,26","2,11"
2025-02,"3.757.813.936,00","3.520.656.700,25","237.157.235,75","6,31"
2025-03,"3.667.278.455,00","3.499.444.723,27","167.833.731,73","4,58"
2025-04,"3.842.426.960,00","3.603.194.231,71","239.232.728,29","6,23"
2025-05,"3.698.170.448,00","3.470.712.145,97","227.458.302,03","6,15"
2025-06,"3.701.356.231,00","3.445.623.390,51","255.732.840,49","6,91"
2025-07,"3.543.597.374,00","3.514.307.392,26","29.289.981,74","0,83"
2025-08,"3.718.931.713,00","3.508.983.038,58","209.948.674,42","5,65"
