Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"403.645.721,16","421.591.984,36","414.650.775,57"
2025-10,"395.338.799,19","394.530.098,99","395.141.768,12"
2025-11,"221.852.263,39","226.207.755,72","231.734.685,69"
2025-12,"179.106.394,84","187.329.314,65","112.070.753,09"
2026-01,"406.764.331,63","403.701.206,41","361.834.204,73"
2026-02,"421.448.487,26","421.457.903,99","413.500.501,44"
2026-03,"470.233.052,26","472.522.904,96","426.687.686,01"
2026-04,"481.599.920,36","483.517.729,87","431.647.489,85"
2026-05,"452.750.440,98","455.881.252,17","434.039.465,65"
2026-06,"487.070.796,66","485.575.845,16","431.752.093,50"
2026-07,"486.887.936,30","489.966.457,77","424.935.605,40"
2026-08,"426.074.123,43","420.549.622,59","418.873.839,83"
