Mês,Real,Previsto,Erro,Erro %
2024-09,"377.795.975,00","367.980.566,32","9.815.408,68","2,60"
2024-10,"360.652.472,70","359.860.407,30","792.065,40","0,22"
2024-11,"182.023.025,80","258.906.480,76","-76.883.454,96","-42,24"
2024-12,"136.577.007,20","110.259.581,31","26.317.425,89","19,27"
2025-01,"367.939.065,00","331.456.170,22","36.482.894,78","9,92"
2025-02,"385.683.274,90","368.095.686,54","17.587.588,36","4,56"
2025-03,"440.580.704,70","372.936.439,09","67.644.265,61","15,35"
2025-04,"441.575.325,40","373.834.105,86","67.741.219,54","15,34"
2025-05,"408.306.469,60","371.998.380,09","36.308.089,51","8,89"
2025-06,"460.993.754,30","369.161.980,29","91.831.774,01","19,92"
2025-07,"450.274.200,30","370.450.183,88","79.824.016,42","17,73"
2025-08,"378.645.833,80","370.962.686,88","7.683.146,92","2,03"
