Mês,Real,Previsto,Erro,Erro %
2024-09,"235.726.717,50","238.071.765,61","-2.345.048,11","-0,99"
2024-10,"266.295.116,90","237.446.864,67","28.848.252,23","10,83"
2024-11,"247.432.984,10","260.295.435,70","-12.862.451,60","-5,20"
2024-12,"430.710.464,10","426.399.214,49","4.311.249,61","1,00"
2025-01,"228.692.271,90","229.204.793,74","-512.521,84","-0,22"
2025-02,"237.404.136,50","237.272.592,42","131.544,08","0,06"
2025-03,"237.347.819,10","239.646.948,30","-2.299.129,20","-0,97"
2025-04,"246.973.326,80","245.151.543,25","1.821.783,55","0,74"
2025-05,"255.667.405,40","248.036.234,79","7.631.170,61","2,98"
2025-06,"263.664.264,40","251.410.627,89","12.253.636,51","4,65"
2025-07,"264.136.219,70","251.068.100,30","13.068.119,40","4,95"
2025-08,"267.478.759,90","253.052.777,36","14.425.982,54","5,39"
