Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"267.568.854,23","265.162.426,67","242.065.585,26"
2025-10,"283.821.326,66","285.703.825,92","276.355.097,34"
2025-11,"283.019.934,82","283.126.597,62","272.155.237,18"
2025-12,"448.568.737,89","455.241.051,65","447.142.624,74"
2026-01,"256.196.282,75","257.183.879,70","239.820.923,08"
2026-02,"265.016.635,00","265.960.510,00","239.946.250,61"
2026-03,"267.540.774,27","267.327.029,57","237.450.613,05"
2026-04,"275.328.187,71","275.726.012,50","242.077.512,57"
2026-05,"281.336.348,06","282.629.797,72","249.015.950,49"
2026-06,"286.193.695,98","288.398.096,21","260.046.646,51"
2026-07,"288.022.145,16","288.360.055,89","263.059.733,94"
2026-08,"289.776.302,02","291.241.564,65","265.655.870,04"
