Mês,Real,Previsto,Erro,Erro %
2024-09,"81.230.421,39","85.392.603,11","-4.162.181,72","-5,12"
2024-10,"102.520.938,90","87.493.401,79","15.027.537,11","14,66"
2024-11,"83.543.661,13","88.950.610,12","-5.406.948,99","-6,47"
2024-12,"131.274.267,20","89.813.806,72","41.460.460,48","31,58"
2025-01,"66.146.332,62","77.677.681,41","-11.531.348,79","-17,43"
2025-02,"65.985.729,51","86.398.613,38","-20.412.883,87","-30,94"
2025-03,"74.479.224,47","90.839.173,83","-16.359.949,36","-21,97"
2025-04,"103.759.360,50","97.058.399,52","6.700.960,98","6,46"
2025-05,"77.022.814,59","87.223.676,42","-10.200.861,83","-13,24"
2025-06,"69.191.487,47","85.307.567,68","-16.116.080,21","-23,29"
2025-07,"74.917.673,71","88.523.447,27","-13.605.773,56","-18,16"
2025-08,"85.269.056,74","95.742.396,56","-10.473.339,82","-12,28"
