Mês,Real,Previsto,Erro,Erro %
2024-09,"81.230.421,39","80.601.454,54","628.966,85","0,77"
2024-10,"102.520.938,90","80.638.389,42","21.882.549,48","21,34"
2024-11,"83.543.661,13","80.669.037,58","2.874.623,55","3,44"
2024-12,"131.274.267,20","80.476.592,12","50.797.675,08","38,70"
2025-01,"66.146.332,62","80.397.850,37","-14.251.517,75","-21,55"
2025-02,"65.985.729,51","80.840.082,52","-14.854.353,01","-22,51"
2025-03,"74.479.224,47","80.862.126,25","-6.382.901,78","-8,57"
2025-04,"103.759.360,50","80.765.676,23","22.993.684,27","22,16"
2025-05,"77.022.814,59","80.540.294,28","-3.517.479,69","-4,57"
2025-06,"69.191.487,47","80.702.858,48","-11.511.371,01","-16,64"
2025-07,"74.917.673,71","80.781.570,85","-5.863.897,14","-7,83"
2025-08,"85.269.056,74","80.791.535,91","4.477.520,83","5,25"
