Mês,Real,Previsto,Erro,Erro %
2024-09,"5.807.023.188,00","5.906.773.618,87","-99.750.430,87","-1,72"
2024-10,"5.727.427.895,00","5.909.001.021,22","-181.573.126,22","-3,17"
2024-11,"5.783.771.751,00","5.906.131.608,37","-122.359.857,37","-2,12"
2024-12,"6.423.534.669,00","5.909.453.658,37","514.081.010,63","8,00"
2025-01,"6.139.805.357,00","5.911.119.911,47","228.685.445,53","3,72"
2025-02,"6.216.590.271,00","5.910.975.383,59","305.614.887,41","4,92"
2025-03,"6.060.350.507,00","5.912.227.106,56","148.123.400,44","2,44"
2025-04,"6.290.121.840,00","5.912.563.563,74","377.558.276,26","6,00"
2025-05,"6.163.701.506,00","5.912.218.276,88","251.483.229,12","4,08"
2025-06,"6.256.691.610,00","5.910.794.375,20","345.897.234,80","5,53"
2025-07,"5.982.332.340,00","5.911.099.696,15","71.232.643,85","1,19"
2025-08,"6.145.274.833,00","5.911.870.201,70","233.404.631,30","3,80"
