Mês,Real,Previsto,Erro,Erro %
2024-09,"3.897.662.329,00","3.802.960.710,80","94.701.618,20","2,43"
2024-10,"3.851.570.214,00","3.802.759.603,84","48.810.610,16","1,27"
2024-11,"3.939.999.906,00","3.803.085.871,97","136.914.034,03","3,47"
2024-12,"4.404.490.607,00","3.803.210.875,91","601.279.731,09","13,65"
2025-01,"4.138.771.527,00","3.803.343.741,73","335.427.785,27","8,10"
2025-02,"4.208.817.751,00","3.803.264.258,09","405.553.492,91","9,64"
2025-03,"4.071.002.346,00","3.803.073.371,58","267.928.974,42","6,58"
2025-04,"4.217.408.657,00","3.803.128.483,38","414.280.173,62","9,82"
2025-05,"4.169.318.716,00","3.803.210.640,05","366.108.075,95","8,78"
2025-06,"4.239.714.498,00","3.803.249.399,13","436.465.098,87","10,29"
2025-07,"4.050.556.302,00","3.803.283.755,56","247.272.546,44","6,10"
2025-08,"4.182.069.003,00","3.803.317.797,51","378.751.205,49","9,06"
