Mês,Real,Previsto,Erro,Erro %
2024-09,"488.761.382,00","512.322.359,83","-23.560.977,83","-4,82"
2024-10,"523.939.689,00","548.490.990,50","-24.551.301,50","-4,69"
2024-11,"663.511.601,10","669.120.675,61","-5.609.074,51","-0,85"
2024-12,"745.885.875,30","720.924.121,48","24.961.753,82","3,35"
2025-01,"703.101.230,80","721.869.186,60","-18.767.955,80","-2,67"
2025-02,"937.921.682,00","919.288.181,18","18.633.500,82","1,99"
2025-03,"618.787.925,90","618.728.781,51","59.144,39","0,01"
2025-04,"629.540.897,50","658.245.117,03","-28.704.219,53","-4,56"
2025-05,"802.369.175,30","743.364.825,06","59.004.350,24","7,35"
2025-06,"821.488.755,80","749.732.161,62","71.756.594,18","8,73"
2025-07,"505.804.302,70","552.559.864,01","-46.755.561,31","-9,24"
2025-08,"666.014.252,60","662.317.058,67","3.697.193,93","0,56"
