Mês,Real,Previsto,Erro,Erro %
2024-09,"471.119.795,20","474.504.640,57","-3.384.845,37","-0,72"
2024-10,"475.344.782,80","469.772.656,34","5.572.126,46","1,17"
2024-11,"506.272.668,60","483.582.188,98","22.690.479,62","4,48"
2024-12,"536.277.906,80","489.238.355,44","47.039.551,36","8,77"
2025-01,"542.870.914,40","495.109.508,00","47.761.406,40","8,80"
2025-02,"487.495.771,10","467.934.392,33","19.561.378,77","4,01"
2025-03,"481.562.136,60","471.708.199,60","9.853.937,00","2,05"
2025-04,"502.173.918,80","485.687.822,53","16.486.096,27","3,28"
2025-05,"485.590.995,20","476.490.350,40","9.100.644,80","1,87"
2025-06,"501.384.900,00","486.483.938,39","14.900.961,61","2,97"
2025-07,"486.080.262,40","483.548.332,02","2.531.930,38","0,52"
2025-08,"492.450.359,60","486.761.715,40","5.688.644,20","1,16"
