Mês,Real,Previsto,Erro,Erro %
2024-09,"471.119.795,20","463.145.396,05","7.974.399,15","1,69"
2024-10,"475.344.782,80","463.149.451,69","12.195.331,11","2,57"
2024-11,"506.272.668,60","464.614.618,16","41.658.050,44","8,23"
2024-12,"536.277.906,80","463.335.720,52","72.942.186,28","13,60"
2025-01,"542.870.914,40","462.321.911,57","80.549.002,83","14,84"
2025-02,"487.495.771,10","461.663.305,39","25.832.465,71","5,30"
2025-03,"481.562.136,60","462.471.902,04","19.090.234,56","3,96"
2025-04,"502.173.918,80","463.676.446,16","38.497.472,64","7,67"
2025-05,"485.590.995,20","463.286.402,49","22.304.592,71","4,59"
2025-06,"501.384.900,00","463.897.110,98","37.487.789,02","7,48"
2025-07,"486.080.262,40","464.088.581,98","21.991.680,42","4,52"
2025-08,"492.450.359,60","464.027.131,24","28.423.228,36","5,77"
