Mês,Real,Previsto,Erro,Erro %
2024-09,"38.464.486,39","33.779.475,64","4.685.010,75","12,18"
2024-10,"38.394.316,78","33.887.707,69","4.506.609,09","11,74"
2024-11,"37.694.016,63","29.510.158,29","8.183.858,34","21,71"
2024-12,"28.217.737,59","26.404.566,25","1.813.171,34","6,43"
2025-01,"33.289.154,75","28.050.178,02","5.238.976,73","15,74"
2025-02,"33.134.236,60","33.846.801,44","-712.564,84","-2,15"
2025-03,"118.060.164,70","112.784.322,94","5.275.841,76","4,47"
2025-04,"49.062.784,32","26.813.435,23","22.249.349,09","45,35"
2025-05,"32.438.001,38","26.286.219,08","6.151.782,30","18,96"
2025-06,"32.286.375,29","26.120.489,49","6.165.885,80","19,10"
2025-07,"38.239.243,57","27.937.757,54","10.301.486,03","26,94"
2025-08,"35.806.875,51","28.475.258,14","7.331.617,37","20,48"
