Mês,Real,Previsto,Erro,Erro %
2024-09,"3.933.830,24","3.397.852,37","535.977,87","13,62"
2024-10,"3.994.881,67","3.617.593,05","377.288,62","9,44"
2024-11,"4.732.829,41","3.617.593,05","1.115.236,36","23,56"
2024-12,"4.215.876,48","3.617.593,05","598.283,43","14,19"
2025-01,"3.236.047,89","3.617.593,05","-381.545,16","-11,79"
2025-02,"2.894.656,02","3.617.593,05","-722.937,03","-24,97"
2025-03,"2.725.681,11","3.617.593,05","-891.911,94","-32,72"
2025-04,"3.002.516,59","3.617.593,05","-615.076,46","-20,49"
2025-05,"3.494.519,69","3.617.593,05","-123.073,36","-3,52"
2025-06,"4.030.590,72","3.617.593,05","412.997,67","10,25"
2025-07,"2.743.201,48","3.617.593,05","-874.391,57","-31,87"
2025-08,"3.584.875,19","3.617.593,05","-32.717,86","-0,91"
