Mês,Real,Previsto,Erro,Erro %
2024-09,"1.398.038.681,00","1.506.083.576,93","-108.044.895,93","-7,73"
2024-10,"1.459.033.280,00","1.533.606.265,24","-74.572.985,24","-5,11"
2024-11,"1.652.351.442,00","1.652.784.247,79","-432.805,79","-0,03"
2024-12,"3.081.355.510,00","1.807.169.515,83","1.274.185.994,17","41,35"
2025-01,"1.708.118.591,00","1.679.842.808,43","28.275.782,57","1,66"
2025-02,"1.932.348.658,00","1.743.844.070,91","188.504.587,09","9,76"
2025-03,"1.721.470.891,00","1.622.717.384,79","98.753.506,21","5,74"
2025-04,"1.665.188.565,00","1.676.649.300,94","-11.460.735,94","-0,69"
2025-05,"2.150.548.129,00","1.732.109.029,70","418.439.099,30","19,46"
2025-06,"1.811.677.171,00","1.668.608.315,52","143.068.855,48","7,90"
2025-07,"1.523.329.254,00","1.620.006.983,67","-96.677.729,67","-6,35"
2025-08,"1.651.564.932,00","1.677.362.222,23","-25.797.290,23","-1,56"
