Mês,Real,Previsto,Erro,Erro %
2024-09,"1.398.038.681,00","1.598.851.120,09","-200.812.439,09","-14,36"
2024-10,"1.459.033.280,00","1.625.068.236,14","-166.034.956,14","-11,38"
2024-11,"1.652.351.442,00","1.615.149.619,77","37.201.822,23","2,25"
2024-12,"3.081.355.510,00","1.611.554.413,01","1.469.801.096,99","47,70"
2025-01,"1.708.118.591,00","1.617.262.051,58","90.856.539,42","5,32"
2025-02,"1.932.348.658,00","1.613.422.805,37","318.925.852,63","16,50"
2025-03,"1.721.470.891,00","1.622.006.022,41","99.464.868,59","5,78"
2025-04,"1.665.188.565,00","1.623.098.706,45","42.089.858,55","2,53"
2025-05,"2.150.548.129,00","1.620.012.729,39","530.535.399,61","24,67"
2025-06,"1.811.677.171,00","1.617.542.988,61","194.134.182,39","10,72"
2025-07,"1.523.329.254,00","1.621.366.666,97","-98.037.412,97","-6,44"
2025-08,"1.651.564.932,00","1.622.544.240,52","29.020.691,48","1,76"
