Mês,Real,Previsto,Erro,Erro %
2024-09,"129.881.240,00","142.063.918,95","-12.182.678,95","-9,38"
2024-10,"137.546.762,50","142.361.915,78","-4.815.153,28","-3,50"
2024-11,"178.317.673,40","142.675.452,85","35.642.220,55","19,99"
2024-12,"199.805.158,30","142.755.450,35","57.049.707,95","28,55"
2025-01,"176.571.495,40","142.751.851,15","33.819.644,25","19,15"
2025-02,"246.376.326,10","142.722.271,15","103.654.054,95","42,07"
2025-03,"160.342.978,30","142.358.921,67","17.984.056,63","11,22"
2025-04,"161.667.988,10","142.415.715,81","19.252.272,29","11,91"
2025-05,"207.418.018,70","142.440.881,63","64.977.137,07","31,33"
2025-06,"217.553.700,20","142.315.712,12","75.237.988,08","34,58"
2025-07,"130.965.546,70","142.009.350,30","-11.043.803,60","-8,43"
2025-08,"175.027.455,40","142.243.902,43","32.783.552,97","18,73"
