Mês,Real,Previsto,Erro,Erro %
2024-09,"19.476.364.250,00","17.594.629.679,50","1.881.734.570,50","9,66"
2024-10,"19.961.061.610,00","17.594.166.869,74","2.366.894.740,26","11,86"
2024-11,"19.336.196.010,00","17.593.785.750,57","1.742.410.259,43","9,01"
2024-12,"20.427.163.340,00","17.593.036.247,26","2.834.127.092,74","13,87"
2025-01,"19.308.190.020,00","17.591.984.519,86","1.716.205.500,14","8,89"
2025-02,"19.073.822.950,00","17.591.885.745,70","1.481.937.204,30","7,77"
2025-03,"17.978.760.490,00","17.592.356.320,71","386.404.169,29","2,15"
2025-04,"19.601.075.430,00","17.592.327.744,54","2.008.747.685,46","10,25"
2025-05,"18.802.432.040,00","17.592.566.293,46","1.209.865.746,54","6,43"
2025-06,"19.214.396.670,00","17.592.843.358,09","1.621.553.311,91","8,44"
2025-07,"19.889.757.060,00","17.592.593.005,97","2.297.164.054,03","11,55"
2025-08,"19.182.470.970,00","17.591.979.239,48","1.590.491.730,52","8,29"
