Mês,Real,Previsto,Erro,Erro %
2024-09,"1.343.898.828,00","1.355.093.827,30","-11.194.999,30","-0,83"
2024-10,"1.253.214.985,00","1.360.517.037,38","-107.302.052,38","-8,56"
2024-11,"1.253.811.409,00","1.368.351.756,59","-114.540.347,59","-9,14"
2024-12,"2.295.733.705,00","1.371.333.507,56","924.400.197,44","40,27"
2025-01,"1.237.627.880,00","1.346.804.201,18","-109.176.321,18","-8,82"
2025-02,"1.325.431.147,00","1.345.284.552,68","-19.853.405,68","-1,50"
2025-03,"1.242.395.650,00","1.351.162.831,57","-108.767.181,57","-8,75"
2025-04,"1.408.860.254,00","1.351.631.039,89","57.229.214,11","4,06"
2025-05,"1.444.388.847,00","1.355.948.364,92","88.440.482,08","6,12"
2025-06,"1.341.029.506,00","1.357.822.596,20","-16.793.090,20","-1,25"
2025-07,"1.307.868.800,00","1.357.788.639,00","-49.919.839,00","-3,82"
2025-08,"1.343.359.484,00","1.358.977.573,77","-15.618.089,77","-1,16"
