Mês,Real,Previsto,Erro,Erro %
2024-09,"519.664.782,70","485.965.789,09","33.698.993,61","6,48"
2024-10,"998.417.629,60","461.071.415,17","537.346.214,43","53,82"
2024-11,"700.490.151,20","482.774.625,26","217.715.525,94","31,08"
2024-12,"1.211.046.111,00","728.461.915,96","482.584.195,04","39,85"
2025-01,"309.024.905,70","339.378.883,71","-30.353.978,01","-9,82"
2025-02,"457.216.522,30","401.313.615,73","55.902.906,57","12,23"
2025-03,"451.041.444,50","470.120.650,83","-19.079.206,33","-4,23"
2025-04,"410.039.750,00","442.997.500,56","-32.957.750,56","-8,04"
2025-05,"460.911.233,60","489.689.287,68","-28.778.054,08","-6,24"
2025-06,"443.648.179,60","519.755.665,55","-76.107.485,95","-17,15"
2025-07,"471.935.609,10","534.546.797,74","-62.611.188,64","-13,27"
2025-08,"434.402.372,10","507.549.622,19","-73.147.250,09","-16,84"
