Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"493.372.313,10","520.719.587,35","420.594.348,97"
2025-10,"568.317.399,07","662.771.749,28","437.361.458,57"
2025-11,"524.791.400,21","607.394.176,19","669.515.511,51"
2025-12,"838.852.371,12","917.802.342,29","1.039.175.235,24"
2026-01,"287.250.975,92","382.341.365,48","423.719.294,14"
2026-02,"393.674.570,71","469.019.759,13","398.389.388,32"
2026-03,"447.290.313,51","494.349.663,59","374.467.168,46"
2026-04,"441.188.679,18","484.016.375,20","365.652.764,04"
2026-05,"514.422.505,53","544.359.386,83","371.486.206,48"
2026-06,"501.524.908,57","512.451.826,82","386.675.060,43"
2026-07,"549.437.413,40","566.407.292,06","405.257.367,82"
2026-08,"554.776.767,49","549.448.805,57","409.822.196,07"
