Mês,Real,Previsto,Erro,Erro %
2024-09,"519.664.782,70","506.478.727,98","13.186.054,72","2,54"
2024-10,"998.417.629,60","509.350.233,08","489.067.396,52","48,98"
2024-11,"700.490.151,20","517.378.791,76","183.111.359,44","26,14"
2024-12,"1.211.046.111,00","516.711.439,89","694.334.671,11","57,33"
2025-01,"309.024.905,70","496.991.875,87","-187.966.970,17","-60,83"
2025-02,"457.216.522,30","516.673.588,86","-59.457.066,56","-13,00"
2025-03,"451.041.444,50","522.928.594,79","-71.887.150,29","-15,94"
2025-04,"410.039.750,00","526.671.822,91","-116.632.072,91","-28,44"
2025-05,"460.911.233,60","527.430.024,14","-66.518.790,54","-14,43"
2025-06,"443.648.179,60","527.852.526,46","-84.204.346,86","-18,98"
2025-07,"471.935.609,10","530.725.613,00","-58.790.003,90","-12,46"
2025-08,"434.402.372,10","529.621.657,45","-95.219.285,35","-21,92"
