Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"30.897.814.449,27","30.132.116.622,11","31.232.335.197,61"
2025-10,"31.978.074.760,03","31.415.312.519,74","31.659.566.253,73"
2025-11,"31.537.767.647,71","31.069.743.522,08","32.107.085.605,70"
2025-12,"36.398.591.643,69","34.270.284.310,85","35.542.896.210,98"
2026-01,"41.924.850.105,34","38.167.289.420,86","36.764.608.846,18"
2026-02,"34.065.124.095,51","32.905.518.952,47","34.846.492.485,77"
2026-03,"32.629.308.783,99","31.870.842.165,20","33.011.632.637,97"
2026-04,"33.545.740.148,24","32.568.261.764,04","33.196.300.246,54"
2026-05,"33.290.369.513,91","32.440.910.524,35","32.699.481.077,04"
2026-06,"31.512.861.618,14","31.159.707.999,96","32.234.621.817,19"
2026-07,"33.102.458.637,08","32.272.742.536,50","33.616.666.314,72"
2026-08,"33.304.797.153,89","31.823.932.521,49","32.794.115.498,97"
