Mês,Real,Previsto,Erro,Erro %
2024-09,"29.330.869.990,00","29.383.341.939,31","-52.471.949,31","-0,18"
2024-10,"31.230.370.970,00","29.641.257.571,26","1.589.113.398,74","5,09"
2024-11,"29.518.094.370,00","30.224.055.404,92","-705.961.034,92","-2,39"
2024-12,"33.835.090.870,00","30.725.231.721,84","3.109.859.148,16","9,19"
2025-01,"40.523.259.020,00","30.896.273.549,82","9.626.985.470,18","23,76"
2025-02,"33.218.839.920,00","29.868.081.608,07","3.350.758.311,93","10,09"
2025-03,"30.515.544.490,00","29.954.709.263,30","560.835.226,70","1,84"
2025-04,"32.097.175.610,00","30.144.731.647,85","1.952.443.962,15","6,08"
2025-05,"31.276.461.330,00","30.038.067.186,86","1.238.394.143,14","3,96"
2025-06,"29.028.169.580,00","29.916.976.106,92","-888.806.526,92","-3,06"
2025-07,"31.697.976.390,00","29.995.467.858,92","1.702.508.531,08","5,37"
2025-08,"29.909.954.870,00","29.922.763.387,18","-12.808.517,18","-0,04"
