Mês,Real,Previsto,Erro,Erro %
2024-09,"20.090.157.180,00","20.515.639.945,09","-425.482.765,09","-2,12"
2024-10,"21.755.567.220,00","20.771.573.487,35","983.993.732,65","4,52"
2024-11,"20.482.736.410,00","21.558.619.045,04","-1.075.882.635,04","-5,25"
2024-12,"23.740.058.890,00","25.325.421.712,15","-1.585.362.822,15","-6,68"
2025-01,"25.368.768.340,00","24.892.973.403,53","475.794.936,47","1,88"
2025-02,"22.042.260.710,00","21.176.488.479,42","865.772.230,58","3,93"
2025-03,"20.398.903.760,00","21.136.011.802,42","-737.108.042,42","-3,61"
2025-04,"21.608.509.840,00","21.123.008.558,26","485.501.281,74","2,25"
2025-05,"21.252.673.870,00","21.729.503.285,21","-476.829.415,21","-2,24"
2025-06,"19.921.212.730,00","21.207.455.262,93","-1.286.242.532,93","-6,46"
2025-07,"22.188.279.930,00","21.507.490.863,69","680.789.066,31","3,07"
2025-08,"20.697.841.800,00","22.263.422.485,08","-1.565.580.685,08","-7,56"
