Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"21.146.502.931,44","20.638.767.764,41","20.446.937.475,87"
2025-10,"21.942.083.509,91","21.511.740.257,84","20.639.276.190,23"
2025-11,"21.901.308.587,73","21.397.159.168,61","20.918.588.279,54"
2025-12,"25.593.404.152,49","23.358.433.412,06","22.128.461.141,60"
2026-01,"26.066.026.731,26","23.848.105.809,96","22.455.740.545,08"
2026-02,"22.369.030.148,75","21.812.229.707,67","22.269.558.418,87"
2026-03,"21.632.836.021,53","21.284.087.950,69","21.889.842.551,21"
2026-04,"22.149.359.921,26","21.739.383.063,00","22.138.186.622,79"
2026-05,"22.341.085.106,79","21.824.332.819,75","21.882.311.416,15"
2026-06,"21.519.917.263,64","21.248.185.541,95","21.783.188.438,16"
2026-07,"22.603.478.830,64","21.964.833.873,26","22.282.524.438,51"
2026-08,"22.723.953.491,66","21.653.793.814,90","21.754.183.299,51"
