Mês,Real,Previsto,Erro,Erro %
2024-09,"20.090.157.180,00","20.073.468.318,71","16.688.861,29","0,08"
2024-10,"21.755.567.220,00","20.105.177.852,44","1.650.389.367,56","7,59"
2024-11,"20.482.736.410,00","20.141.228.721,90","341.507.688,10","1,67"
2024-12,"23.740.058.890,00","20.165.327.387,66","3.574.731.502,34","15,06"
2025-01,"25.368.768.340,00","20.170.801.897,07","5.197.966.442,93","20,49"
2025-02,"22.042.260.710,00","20.091.453.645,37","1.950.807.064,63","8,85"
2025-03,"20.398.903.760,00","20.097.560.219,25","301.343.540,75","1,48"
2025-04,"21.608.509.840,00","20.117.100.095,90","1.491.409.744,10","6,90"
2025-05,"21.252.673.870,00","20.117.248.447,42","1.135.425.422,58","5,34"
2025-06,"19.921.212.730,00","20.112.071.607,51","-190.858.877,51","-0,96"
2025-07,"22.188.279.930,00","20.117.141.170,43","2.071.138.759,57","9,33"
2025-08,"20.697.841.800,00","20.112.380.391,30","585.461.408,70","2,83"
