Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"526.721.968,24","516.691.291,89","517.659.874,71"
2025-10,"570.967.352,11","556.486.268,34","538.404.683,06"
2025-11,"686.724.939,12","674.349.398,12","699.272.735,14"
2025-12,"746.235.283,39","746.159.614,79","776.383.294,10"
2026-01,"735.650.028,54","740.219.446,19","779.927.883,06"
2026-02,"886.766.305,70","904.325.218,57","791.109.525,47"
2026-03,"607.525.068,29","625.861.842,69","610.096.426,65"
2026-04,"637.973.132,64","651.250.039,95","679.704.458,72"
2026-05,"751.709.892,30","786.492.146,36","786.209.116,60"
2026-06,"716.627.163,47","773.677.480,30","780.936.815,28"
2026-07,"502.885.123,24","532.482.914,79","523.584.877,69"
2026-08,"625.268.097,74","656.338.030,81","612.378.008,89"
