Mês,Real,Previsto,Erro,Erro %
2024-09,"464.221.409,20","555.160.582,43","-90.939.173,23","-19,59"
2024-10,"503.984.258,30","583.701.380,97","-79.717.122,67","-15,82"
2024-11,"622.652.304,20","607.280.126,77","15.372.177,43","2,47"
2024-12,"702.409.059,50","610.280.730,95","92.128.328,55","13,12"
2025-01,"690.332.786,60","608.751.963,93","81.580.822,67","11,82"
2025-02,"856.140.267,30","605.847.672,00","250.292.595,30","29,23"
2025-03,"577.994.978,60","601.557.887,46","-23.562.908,86","-4,08"
2025-04,"596.772.853,00","605.390.387,80","-8.617.534,80","-1,44"
2025-05,"752.434.118,10","607.901.199,68","144.532.918,42","19,21"
2025-06,"739.326.859,20","602.553.436,66","136.773.422,54","18,50"
2025-07,"473.061.107,60","583.886.737,73","-110.825.630,13","-23,43"
2025-08,"607.483.454,10","607.677.342,44","-193.888,34","-0,03"
