Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"556.346.607,94","561.482.720,94","552.360.622,36"
2025-10,"558.892.616,83","563.911.508,81","552.072.082,58"
2025-11,"568.527.345,90","568.737.895,45","551.951.745,39"
2025-12,"578.620.708,25","577.013.066,94","551.450.467,56"
2026-01,"549.987.105,63","561.328.065,45","550.718.022,36"
2026-02,"515.807.756,29","538.290.963,38","550.067.988,05"
2026-03,"530.105.186,30","541.360.580,11","550.693.670,23"
2026-04,"569.446.047,28","563.597.834,75","552.188.047,56"
2026-05,"563.836.600,71","559.501.617,69","552.246.919,74"
2026-06,"590.272.543,43","575.097.519,08","552.880.024,49"
2026-07,"606.721.224,60","590.450.440,42","553.035.466,37"
2026-08,"603.981.411,32","592.643.712,38","553.018.511,38"
