Mês,Real,Previsto,Erro,Erro %
2024-09,"523.526.891,30","503.903.633,82","19.623.257,48","3,75"
2024-10,"525.106.001,80","503.774.461,38","21.331.540,42","4,06"
2024-11,"545.638.612,80","503.922.463,27","41.716.149,53","7,65"
2024-12,"545.758.281,30","504.138.000,92","41.620.280,38","7,63"
2025-01,"505.835.706,00","504.189.472,07","1.646.233,93","0,33"
2025-02,"461.704.781,60","503.819.175,37","-42.114.393,77","-9,12"
2025-03,"470.927.614,70","503.631.893,82","-32.704.279,12","-6,94"
2025-04,"515.191.166,10","504.032.150,79","11.159.015,31","2,17"
2025-05,"508.897.979,80","503.815.743,17","5.082.236,63","1,00"
2025-06,"542.824.793,50","503.874.531,58","38.950.261,92","7,18"
2025-07,"561.892.094,90","503.895.160,56","57.996.934,34","10,32"
2025-08,"560.656.243,70","503.921.283,45","56.734.960,25","10,12"
