Mês,Real,Previsto,Erro,Erro %
2024-09,"73.562.389,02","82.469.091,30","-8.906.702,28","-12,11"
2024-10,"121.744.973,50","253.052.298,68","-131.307.325,18","-107,85"
2024-11,"106.812.845,40","224.398.100,38","-117.585.254,98","-110,09"
2024-12,"211.907.103,70","244.396.096,07","-32.488.992,37","-15,33"
2025-01,"72.589.388,51","78.420.328,80","-5.830.940,29","-8,03"
2025-02,"100.605.353,40","100.916.991,50","-311.638,10","-0,31"
2025-03,"88.092.547,96","153.588.558,29","-65.496.010,33","-74,35"
2025-04,"95.249.060,22","205.407.968,33","-110.158.908,11","-115,65"
2025-05,"99.551.826,85","250.070.183,01","-150.518.356,16","-151,20"
2025-06,"78.274.626,30","251.706.328,24","-173.431.701,94","-221,57"
2025-07,"122.527.177,20","245.797.108,57","-123.269.931,37","-100,61"
2025-08,"92.224.568,26","236.337.182,56","-144.112.614,30","-156,26"
