Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"8.952.847,93","7.767.522,67","8.334.484,30"
2025-10,"8.730.516,63","8.619.882,92","8.427.239,74"
2025-11,"10.251.909,02","11.166.820,74","8.444.203,75"
2025-12,"10.924.030,57","11.009.863,96","8.432.966,37"
2026-01,"9.154.497,02","8.899.548,73","8.313.657,13"
2026-02,"8.822.622,98","8.170.172,28","8.311.002,33"
2026-03,"10.142.067,65","9.498.887,51","8.374.283,51"
2026-04,"9.276.955,43","8.213.864,31","8.021.621,02"
2026-05,"9.975.147,32","8.549.763,83","8.025.778,45"
2026-06,"9.962.431,85","8.549.107,88","8.085.139,38"
2026-07,"10.567.065,43","10.454.201,19","7.922.621,42"
2026-08,"9.863.234,40","9.044.855,18","7.848.179,32"
