Mês,Real,Previsto,Erro,Erro %
2024-09,"7.716.893,87","8.484.034,83","-767.140,96","-9,94"
2024-10,"6.292.140,57","8.467.467,20","-2.175.326,63","-34,57"
2024-11,"7.241.223,23","8.463.065,40","-1.221.842,17","-16,87"
2024-12,"10.833.671,29","8.403.237,68","2.430.433,61","22,43"
2025-01,"7.599.913,71","8.126.910,25","-526.996,54","-6,93"
2025-02,"6.780.702,54","8.221.364,58","-1.440.662,04","-21,25"
2025-03,"12.455.980,02","8.290.212,17","4.165.767,85","33,44"
2025-04,"8.807.004,03","8.288.017,75","518.986,28","5,89"
2025-05,"8.228.076,10","8.281.644,22","-53.568,12","-0,65"
2025-06,"9.935.218,37","8.279.316,40","1.655.901,97","16,67"
2025-07,"8.509.673,28","8.296.064,13","213.609,15","2,51"
2025-08,"6.530.753,26","7.837.392,58","-1.306.639,32","-20,01"
