Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"1.639.952.471,42","1.603.446.838,77","1.642.986.041,30"
2025-10,"1.867.539.908,36","1.823.662.413,21","1.926.839.288,02"
2025-11,"1.941.740.365,60","1.890.053.419,47","1.931.687.655,72"
2025-12,"2.211.258.839,85","2.118.389.459,86","1.969.912.457,29"
2026-01,"1.846.258.979,33","1.810.063.880,20","1.947.706.065,09"
2026-02,"1.985.075.247,89","1.942.918.210,89","1.938.756.677,13"
2026-03,"1.678.676.361,81","1.718.300.293,23","1.745.705.373,26"
2026-04,"1.740.144.661,55","1.769.145.000,12","1.805.967.823,60"
2026-05,"1.907.721.842,52","1.883.616.761,46","1.946.402.033,35"
2026-06,"1.908.742.192,28","1.852.820.955,14","1.916.926.058,91"
2026-07,"1.750.779.522,14","1.786.782.911,17","1.824.301.373,33"
2026-08,"1.885.521.327,86","1.871.437.246,08","1.888.104.538,54"
