Mês,Real,Previsto,Erro,Erro %
2024-09,"1.446.013.754,00","1.441.476.657,15","4.537.096,85","0,31"
2024-10,"1.787.588.501,00","1.649.243.924,45","138.344.576,55","7,74"
2024-11,"1.716.170.790,00","1.733.428.546,22","-17.257.756,22","-1,01"
2024-12,"2.162.055.685,00","1.761.596.058,97","400.459.626,03","18,52"
2025-01,"1.758.483.292,00","1.647.820.579,66","110.662.712,34","6,29"
2025-02,"1.914.620.255,00","1.693.372.494,95","221.247.760,05","11,56"
2025-03,"1.533.914.892,00","1.458.870.358,72","75.044.533,28","4,89"
2025-04,"1.595.959.291,00","1.555.074.374,97","40.884.916,03","2,56"
2025-05,"1.808.989.856,00","1.650.588.902,56","158.400.953,44","8,76"
2025-06,"1.735.721.412,00","1.640.788.227,30","94.933.184,70","5,47"
2025-07,"1.616.491.144,00","1.571.754.643,70","44.736.500,30","2,77"
2025-08,"1.708.194.655,00","1.632.242.023,95","75.952.631,05","4,45"
