Mês,Real,Previsto,Erro,Erro %
2024-09,"1.053.601.753,00","1.046.641.407,91","6.960.345,09","0,66"
2024-10,"1.304.547.513,00","1.146.978.703,97","157.568.809,03","12,08"
2024-11,"1.239.731.425,00","1.305.331.022,68","-65.599.597,68","-5,29"
2024-12,"1.680.473.080,00","1.347.979.450,15","332.493.629,85","19,79"
2025-01,"1.283.847.187,00","1.209.280.555,61","74.566.631,39","5,81"
2025-02,"1.414.980.847,00","1.272.199.934,53","142.780.912,47","10,09"
2025-03,"1.152.856.056,00","1.063.285.208,87","89.570.847,13","7,77"
2025-04,"1.194.129.993,00","1.112.912.553,54","81.217.439,46","6,80"
2025-05,"1.325.641.844,00","1.179.149.999,52","146.491.844,48","11,05"
2025-06,"1.313.957.936,00","1.199.228.377,24","114.729.558,76","8,73"
2025-07,"1.184.066.037,00","1.125.177.548,17","58.888.488,83","4,97"
2025-08,"1.229.302.034,00","1.159.791.694,69","69.510.339,31","5,65"
